src	tgt
2824+125	2949
5506+350	5856
242+854	1096
792+858	1650
2424+704	3128
132+1488	1620
323+338	661
1434+674	2108
833+765	1598
9928+529	10457
559+703	1262
928+1106	2034
814+532	1346
384+3547	3931
881+444	1325
194+489	683
467+967	1434
718+5333	6051
847+570	1417
3045+487	3532
665+400	1065
6925+691	7616
821+171	992
777+333	1110
181+4814	4995
489+384	873
750+6977	7727
479+463	942
786+373	1159
2169+723	2892
3803+646	4449
5010+267	5277
488+5422	5910
4598+801	5399
963+1916	2879
941+132	1073
510+5386	5896
316+680	996
6155+317	6472
9179+505	9684
8517+246	8763
242+5040	5282
9830+369	10199
8019+697	8716
470+4593	5063
621+605	1226
873+148	1021
256+742	998
911+796	1707
710+2040	2750
490+8668	9158
5119+666	5785
796+838	1634
798+649	1447
887+6573	7460
400+545	945
564+103	667
5315+612	5927
619+208	827
5889+961	6850
9317+723	10040
256+482	738
652+897	1549
1009+713	1722
600+1319	1919
471+999	1470
345+1949	2294
999+680	1679
187+849	1036
935+2133	3068
3060+231	3291
8787+662	9449
371+640	1011
7932+316	8248
4295+830	5125
508+7118	7626
629+8397	9026
353+330	683
446+121	567
4770+702	5472
107+172	279
1964+334	2298
132+980	1112
172+9423	9595
385+785	1170
319+9834	10153
840+684	1524
8744+348	9092
926+7669	8595
196+199	395
8062+462	8524
520+8651	9171
1887+789	2676
2612+162	2774
845+6559	7404
354+296	650
649+559	1208
532+287	819
573+5092	5665
553+927	1480
2604+151	2755
9856+956	10812
195+871	1066
270+516	786
592+4502	5094
160+3697	3857
102+7396	7498
902+8454	9356
533+8973	9506
294+403	697
159+693	852
9883+162	10045
6138+158	6296
698+588	1286
9701+261	9962
620+182	802
170+709	879
791+982	1773
513+222	735
5033+692	5725
1651+734	2385
529+773	1302
9565+423	9988
309+6147	6456
371+505	876
787+760	1547
568+6180	6748
109+569	678
2638+175	2813
4492+618	5110
235+6718	6953
350+478	828
261+8179	8440
5956+726	6682
9666+108	9774
5905+779	6684
999+237	1236
218+2753	2971
3546+378	3924
719+4450	5169
6617+308	6925
5325+617	5942
357+1832	2189
749+533	1282
145+1058	1203
889+3143	4032
5291+265	5556
8239+664	8903
8007+674	8681
214+177	391
3442+658	4100
954+478	1432
3426+540	3966
142+415	557
915+1653	2568
315+5088	5403
2684+462	3146
7658+735	8393
3532+342	3874
919+930	1849
522+125	647
854+440	1294
921+5065	5986
263+2771	3034
993+1634	2627
327+4269	4596
458+6000	6458
328+124	452
4164+508	4672
385+2137	2522
459+9346	9805
795+9785	10580
128+2889	3017
282+5349	5631
211+710	921
453+6139	6592
720+9379	10099
494+690	1184
360+145	505
8144+101	8245
9821+803	10624
4228+472	4700
171+6409	6580
6143+779	6922
837+407	1244
6067+782	6849
434+7592	8026
5844+667	6511
296+530	826
7211+793	8004
3851+730	4581
5930+515	6445
1006+411	1417
315+8043	8358
6279+576	6855
552+4501	5053
8752+912	9664
3780+774	4554
390+627	1017
6491+195	6686
788+417	1205
925+303	1228
125+147	272
586+725	1311
566+524	1090
4185+835	5020
7291+606	7897
349+3417	3766
1090+868	1958
897+535	1432
280+923	1203
9486+575	10061
670+355	1025
567+236	803
783+9702	10485
6198+873	7071
727+9270	9997
950+9976	10926
262+8777	9039
365+5050	5415
5543+884	6427
8939+741	9680
381+550	931
830+392	1222
378+443	821
653+2320	2973
254+336	590
810+3503	4313
4505+165	4670
517+6421	6938
8633+525	9158
311+952	1263
498+1320	1818
7232+588	7820
460+405	865
973+7865	8838
9947+919	10866
4613+599	5212
379+546	925
129+7371	7500
784+7624	8408
3704+960	4664
230+9751	9981
503+706	1209
1444+185	1629
8022+238	8260
286+1823	2109
488+6363	6851
565+434	999
879+7211	8090
870+7906	8776
954+2341	3295
119+9837	9956
458+329	787
2124+899	3023
1659+872	2531
353+304	657
736+256	992
229+584	813
2874+677	3551
576+816	1392
885+7043	7928
720+721	1441
2876+896	3772
418+210	628
1420+419	1839
7149+506	7655
4249+177	4426
